City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,tuatapere,-46.1333,167.6833,13.99,82,85,4.29,NZ,1674364903
84,noumea,-22.2763,166.4572,32.99,99,100,2.17,NC,1674365121
85,kloulklubed,7.0419,134.2556,24.28,77,100,8.69,PW,1674365335
86,hermanus,-34.4187,19.2345,18.22,82,92,2.89,ZA,1674364783
87,hithadhoo,-0.6,73.0833,27.24,75,38,5.54,MV,1674364793
88,coquimbo,-29.9533,-71.3436,17.85,82,100,1.54,CL,1674364802
89,porgera,-5.4667,143.2,10.46,95,99,1.03,PG,1674365336
90,kieta,-6.2167,155.6333,29.19,68,100,1.98,PG,1674365336
91,avarua,-21.2078,-159.775,26.03,78,98,1.03,CK,1674364783
92,bethel,41.3712,-73.414,1.63,76,100,0.0,US,1674365337
93,zeya,53.75,127.2667,-29.9,82,52,1.24,RU,1674365337
94,pangnirtung,66.1451,-65.7125,-16.26,98,100,1.37,CA,1674364897
95,victoria,22.2855,114.1577,22.03,64,90,3.58,HK,1674365337
96,melnikovo,56.5558,84.085,-29.57,83,84,3.22,RU,1674365338
97,cine,37.6117,28.0614,8.67,86,88,1.47,TR,1674365338
98,sambava,-14.2667,50.1667,25.2,81,78,1.03,MG,1674365338
99,shagonar,51.5333,92.8,-27.46,88,9,0.52,RU,1674364860
100,wad rawah,15.1603,33.1397,18.94,22,0,4.48,SD,1674365339
101,oparino,59.8518,48.2783,-6.52,97,100,1.9,RU,1674365339
102,mehamn,71.0357,27.8492,0.97,86,100,8.23,NO,1674364908
103,amahai,-3.3333,128.9167,29.59,67,100,3.07,ID,1674365340
104,teya,60.3778,92.6267,-31.6,91,81,1.66,RU,1674365340
105,qaanaaq,77.484,-69.3632,-34.95,62,37,3.05,GL,1674364795
106,mar del plata,-38.0023,-57.5575,20.49,86,0,4.12,AR,1674364627
107,salvador,13.8333,-88.9167,20.58,83,8,0.7,SV,1674365210
108,thompson,55.7435,-97.8558,-13.91,85,100,2.06,CA,1674364791
109,geraldton,-28.7667,114.6,27.23,61,14,5.66,AU,1674364895
110,jaggayyapeta,16.9,80.1,27.17,57,35,1.79,IN,1674365341
111,cabo san lucas,22.8909,-109.9124,19.17,72,0,1.76,MX,1674364615
112,gat,31.61,34.7642,14.67,78,0,0.43,IL,1674365341
113,zaysan,47.4667,84.8667,-18.38,69,0,0.44,KZ,1674365342
114,klaksvik,62.2266,-6.589,8.51,86,100,10.76,FO,1674364802
115,pasighat,28.0667,95.3333,22.78,32,47,1.55,IN,1674365342
116,skala,50.2305,19.8536,-1.19,92,100,3.6,PL,1674365342
117,luwuk,-0.9516,122.7875,29.17,69,100,0.97,ID,1674365343
118,baton rouge,30.4508,-91.1545,12.16,83,100,3.09,US,1674365162
119,breyten,-26.3018,29.987,15.14,48,67,1.24,ZA,1674365343
120,oussouye,12.485,-16.5469,18.39,74,17,3.81,SN,1674364826
121,mahebourg,-20.4081,57.7,27.16,83,40,4.63,MU,1674364796
122,hasaki,35.7333,140.8333,9.01,66,100,3.67,JP,1674364816
123,saint-pierre,-21.3393,55.4781,28.82,70,0,5.14,RE,1674365344
124,nalut,30.3333,10.85,6.91,56,0,3.6,LY,1674365344
125,loikaw,19.6742,97.2094,28.53,14,6,0.98,MM,1674365345
126,tura,25.5198,90.2201,23.51,28,0,1.78,IN,1674364942
127,sao francisco de assis,-29.5503,-55.1311,22.66,83,67,0.46,BR,1674365345
128,walvis bay,-22.9575,14.5053,17.84,88,77,2.09,NA,1674365346
129,kruisfontein,-34.0033,24.7314,21.6,81,86,6.41,ZA,1674364904
130,saquarema,-22.92,-42.5103,22.24,89,3,1.0,BR,1674365346
131,aklavik,68.2191,-135.0107,-25.27,97,100,2.55,CA,1674364849
132,san juan,-31.5375,-68.5364,29.53,24,44,4.8,AR,1674364949
133,lata,40.1629,-8.3327,7.82,80,18,2.74,PT,1674364799
134,ostrovnoy,68.0531,39.5131,-5.4,85,100,7.05,RU,1674364821
135,bambous virieux,-20.3428,57.7575,27.14,83,40,4.63,MU,1674364807
136,buncrana,55.1333,-7.45,8.37,95,100,5.65,IE,1674365347
137,rodrigues alves,-7.738,-72.6509,23.11,96,17,1.04,BR,1674365348
138,ribeira grande,38.5167,-28.7,16.54,84,5,5.36,PT,1674364785
139,teahupoo,-17.8333,-149.2667,24.98,71,100,1.45,PF,1674365348
140,esperance,-33.8667,121.9,24.12,52,9,8.44,AU,1674364716
141,broome,42.2506,-75.833,-0.17,83,100,2.57,US,1674365348
142,kargasok,59.0556,80.8572,-18.83,96,100,8.02,RU,1674365349
143,olafsvik,64.8945,-23.7142,-2.77,77,100,15.62,IS,1674364850
144,sitka,57.0531,-135.33,2.94,87,100,3.09,US,1674364902
145,palmer,42.1584,-72.3287,-0.28,73,100,0.0,US,1674364789
146,tecolutla,20.4833,-97.0167,22.22,95,11,3.08,MX,1674365349
147,san andres,12.5847,-81.7006,27.01,78,40,7.2,CO,1674364795
148,nakamura,32.9833,132.9333,11.57,57,63,1.49,JP,1674365350
149,kampot,10.6167,104.1833,30.03,51,87,4.36,KH,1674365350
150,saint-leu,-21.15,55.2833,28.48,77,100,0.4,RE,1674365351
151,carnarvon,-24.8667,113.6333,26.63,69,38,7.44,AU,1674364781
152,oriximina,-1.7656,-55.8661,22.46,95,99,0.96,BR,1674365351
153,vytegra,61.0064,36.4481,-14.32,100,100,0.84,RU,1674364835
154,sur,22.5667,59.5289,20.4,56,23,4.45,OM,1674365145
155,martin,27.0837,-80.4164,22.2,96,100,2.79,US,1674365352
156,santa fe,-31.6333,-60.7,25.57,82,0,1.79,AR,1674365226
157,port blair,11.6667,92.75,29.02,65,75,4.12,IN,1674364835
158,codrington,-38.2667,141.9667,20.01,62,3,7.08,AU,1674364843
159,blackburn,53.75,-2.4833,1.45,90,100,2.24,GB,1674365352
160,mgandu,-5.95,34.1333,16.5,93,96,1.58,TZ,1674365353
161,bredasdorp,-34.5322,20.0403,20.16,76,71,2.04,ZA,1674364778
162,champerico,14.3,-91.9167,25.03,72,2,4.07,GT,1674364880
163,lanxi,29.2195,119.477,9.84,89,100,1.2,CN,1674365353
164,kaufbeuren,47.8833,10.6167,-3.23,64,100,0.29,DE,1674365354
165,sokolo,14.7328,-6.1219,22.02,18,1,3.89,ML,1674365354
166,husavik,66.0449,-17.3389,-0.46,80,100,4.94,IS,1674365354
167,ponta do sol,32.6667,-17.1,18.17,75,62,3.33,PT,1674364863
168,omsukchan,62.5333,155.8,-39.33,100,98,2.61,RU,1674365355
169,flinders,-34.5833,150.8552,21.32,87,100,1.79,AU,1674365355
170,nioro,13.35,-15.75,17.05,56,24,3.04,GM,1674365356
171,natal,-5.795,-35.2094,25.12,83,20,1.54,BR,1674365279
172,saint-francois,46.4154,3.9054,-1.31,80,100,5.14,FR,1674365356
173,khatanga,71.9667,102.5,-38.05,84,32,1.11,RU,1674364833
174,shizunai,42.3339,142.3669,-3.23,65,81,9.37,JP,1674365083
175,tayga,56.06,85.6197,-28.28,93,30,3.08,RU,1674365357
176,necochea,-38.5473,-58.7368,17.69,87,3,5.02,AR,1674364884
177,san patricio,28.017,-97.5169,15.47,89,2,2.44,US,1674364799
178,bouafle,6.9904,-5.7442,23.87,92,23,1.31,CI,1674365323
179,lima,-12.0432,-77.0282,22.17,80,40,4.12,PE,1674365041
180,barrow,71.2906,-156.7887,-16.99,85,100,8.75,US,1674364625
181,khasan,42.4308,130.6434,-7.23,71,87,2.81,RU,1674365357
182,mandalay,21.9747,96.0836,28.15,29,7,3.05,MM,1674365358
183,dongsheng,39.8161,109.9776,-6.66,40,89,9.45,CN,1674365358
184,komsomolskiy,40.4272,71.7189,-2.6,74,99,1.03,UZ,1674365358
185,lompoc,34.6391,-120.4579,9.4,81,0,0.0,US,1674364867
186,abalak,58.1286,68.5944,-7.37,95,99,3.51,RU,1674365359
187,sao filipe,14.8961,-24.4956,21.41,64,18,4.74,CV,1674364959
188,ambilobe,-13.2,49.05,25.57,83,96,0.92,MG,1674364939
189,san jose de rio tinto,14.9333,-85.7,19.14,97,21,1.04,HN,1674365359
190,jumla,29.2747,82.1838,10.09,9,0,2.02,NP,1674364935
191,nizhniy kuranakh,58.8353,125.4869,-37.08,92,100,1.19,RU,1674365360
192,saskylakh,71.9167,114.0833,-36.97,91,100,1.33,RU,1674364780
193,bubaque,11.2833,-15.8333,23.17,69,66,7.67,GW,1674365360
194,cheyenne,41.14,-104.8203,-2.92,70,100,9.39,US,1674365211
195,atocha,-20.9333,-66.2333,9.21,62,88,2.69,BO,1674365361
196,nanortalik,60.1432,-45.2371,-11.25,61,2,5.34,GL,1674364820
197,bac lieu,9.285,105.7244,28.58,65,100,5.31,VN,1674365361
198,puerto escondido,15.85,-97.0667,23.97,71,11,2.05,MX,1674365361
199,zalesovo,53.9939,84.7431,-29.79,97,44,1.73,RU,1674364937
200,kaoma,-14.7833,24.8,17.56,97,100,3.04,ZM,1674365362
201,cockburn town,21.4612,-71.1419,25.08,74,6,8.08,TC,1674365336
202,kamenka,51.3223,42.7678,-6.53,83,100,4.88,RU,1674365362
203,sao pedro do sul,-29.6206,-54.1789,22.38,87,100,1.42,BR,1674365074
